Site,Depth,Site_Depth,Diversity,Observed,Estimator,s.e.,LCL,UCL,Aspective_descriptive,Habitat_simplified
MARI-02,41,MARI-02_41,Species richness,5,10.25,4.449682396,5,18.97121724,flat,lagoon
MARI-02,43,MARI-02_43,Species richness,3,4.5,2.032836502,3,8.48428633,flat,lagoon
MARI-02,44,MARI-02_44,Species richness,16,28,17.57469163,16,62.44576264,flat,lagoon
MARI-02,45,MARI-02_45,Species richness,8,8.472222222,3.371410361,8,15.08006511,flat,lagoon
MARI-02,46,MARI-02_46,Species richness,11,16.73913043,8.169438506,11,32.75093568,flat,lagoon
MARI-02,48,MARI-02_48,Species richness,3,3.8,1.238611148,3,6.227633241,flat,lagoon
MARI-02,54,MARI-02_54,Species richness,3,3.2,1.790131195,3,6.708592671,flat,lagoon
MIDD-01,10,MIDD-01_10,Species richness,7,7.244444444,2.378057097,7,11.90535071,flat,inner_reef
MIDD-01,11,MIDD-01_11,Species richness,8,13.82352941,5.185632597,8,23.98718254,flat,inner_reef
MIDD-01,21,MIDD-01_21,Species richness,9,16.65217391,7.266362811,9,30.89398332,steep_slope,inner_reef
MIDD-01,26,MIDD-01_26,Species richness,2,2,0.43519414,2,2.85296484,flat,inner_reef
MIDD-01,30,MIDD-01_30,Species richness,4,4.833333333,2.172590322,4,9.091532119,flat,inner_reef
MIDD-01,4,MIDD-01_4,Species richness,4,5.8,1.788206242,4,9.304819832,flat,inner_reef
MIDD-01,40,MIDD-01_40,Species richness,8,29.77777778,10.19927712,9.787561954,49.7679936,flat,inner_reef
MIDD-01,5,MIDD-01_5,Species richness,1,1,0,1,1,flat,inner_reef
OBSN-01,16,OBSN-01_16,Species richness,5,7.7,3.008282705,5,13.59612576,flat,inner_reef
OBSN-01,25,OBSN-01_25,Species richness,5,5.888888889,2.04478935,5,9.896602371,flat,inner_reef
OBSN-01,33,OBSN-01_33,Species richness,3,3,0.52527506,3,4.0295202,flat,inner_reef
OBSN-01,5,OBSN-01_5,Species richness,15,27.01442308,13.5452083,15,53.56254351,wall,outer_slope
OBSN-01,63,OBSN-01_63,Species richness,1,1,0,1,1,wall,outer_slope
OSPR-01,12.7,OSPR-01_12.7,Species richness,3,5,1.42550127,3,7.79393115,wall,outer_slope
OSPR-01,14.1,OSPR-01_14.1,Species richness,5,7.785714286,2.102400463,5,11.90634347,wall,outer_slope
OSPR-01,15.4,OSPR-01_15.4,Species richness,5,8.9375,3.950446926,5,16.6802337,steep_slope,outer_slope
OSPR-01,16.4,OSPR-01_16.4,Species richness,6,18.5,4.498187065,9.683715358,27.31628464,wall,outer_slope
OSPR-01,18.8,OSPR-01_18.8,Species richness,3,5,1.330906883,3,7.608529558,wall,outer_slope
OSPR-01,18.9,OSPR-01_18.9,Species richness,1,1,0,1,1,steep_slope,outer_slope
OSPR-01,21.8,OSPR-01_21.8,Species richness,10,43.23076923,13.29555893,17.17195257,69.2895859,steep_slope,outer_slope
OSPR-01,23.7,OSPR-01_23.7,Species richness,3,3,0.601117646,3,4.178168936,moderate_slope,outer_slope
OSPR-01,25.5,OSPR-01_25.5,Species richness,4,6.666666667,2.427411322,4,11.42430543,moderate_slope,outer_slope
OSPR-01,28.2,OSPR-01_28.2,Species richness,5,13,3.333863594,6.465747426,19.53425257,wall,outer_slope
OSPR-01,28.8,OSPR-01_28.8,Species richness,3,3.416666667,1.176813439,3,5.723178624,moderate_slope,outer_slope
OSPR-01,32.8,OSPR-01_32.8,Species richness,2,2.333333333,1.082956422,2,4.455888918,moderate_slope,outer_slope
OSPR-01,33.3,OSPR-01_33.3,Species richness,3,4.5,1.930215616,3,8.283153089,wall,outer_slope
OSPR-01,35.3,OSPR-01_35.3,Species richness,5,13,3.06359464,6.995464841,19.00453516,steep_slope,outer_slope
OSPR-01,35.7,OSPR-01_35.7,Species richness,2,2.333333333,1.197378356,2,4.680151787,gentle_slope,outer_slope
OSPR-01,36.6,OSPR-01_36.6,Species richness,6,18.5,4.84398129,9.005971129,27.99402887,moderate_slope,outer_slope
OSPR-01,38.2,OSPR-01_38.2,Species richness,2,2.5,0.723627227,2,3.918283303,wall,outer_slope
OSPR-01,41.2,OSPR-01_41.2,Species richness,1,1,0,1,1,wall,outer_slope
OSPR-01,44.7,OSPR-01_44.7,Species richness,1,1,0,1,1,wall,outer_slope
OSPR-01,47.8,OSPR-01_47.8,Species richness,4,4.888888889,1.587779117,4,8.000878773,moderate_slope,outer_slope
OSPR-01,5.1,OSPR-01_5.1,Species richness,7,7.484848485,2.327467879,7,12.0466017,moderate_slope,outer_slope
OSPR-01,52.4,OSPR-01_52.4,Species richness,3,5,1.495762815,3,7.931641246,steep_slope,outer_slope
OSPR-01,52.8,OSPR-01_52.8,Species richness,2,2.5,0.697234798,2,3.866555093,steep_slope,outer_slope
OSPR-01,53.2,OSPR-01_53.2,Species richness,1,1,0,1,1,steep_slope,outer_slope
OSPR-01,55,OSPR-01_55,Species richness,3,4.5,2.167313423,3,8.747856253,steep_slope,outer_slope
OSPR-01,63.2,OSPR-01_63.2,Species richness,1,1,0,1,1,moderate_slope,outer_slope
OSPR-01,65.8,OSPR-01_65.8,Species richness,1,1,0,1,1,steep_slope,outer_slope
OSPR-01,66.2,OSPR-01_66.2,Species richness,1,1,0,1,1,steep_slope,outer_slope
OSPR-01,67.8,OSPR-01_67.8,Species richness,1,1,0,1,1,steep_slope,outer_slope
OSPR-01,7,OSPR-01_7,Species richness,4,4.909090909,1.406669919,4,7.666113288,steep_slope,outer_slope
OSPR-01,7.1,OSPR-01_7.1,Species richness,11,28.51351351,11.90458466,11,51.8460707,steep_slope,outer_slope
OSPR-01,77.2,OSPR-01_77.2,Species richness,1,1,0,1,1,steep_slope,outer_slope
OSPR-01,9.1,OSPR-01_9.1,Species richness,9,12.87096774,4.890637408,9,22.45644092,steep_slope,outer_slope
OSPR-01,96.3,OSPR-01_96.3,Species richness,1,1,0,1,1,wall,outer_slope
OSPR-02,12.7,OSPR-02_12.7,Species richness,8,12.37142857,5.665671362,8,23.47594039,wall,outer_slope
OSPR-02,14.1,OSPR-02_14.1,Species richness,8,12.32,4.800627531,8,21.72905706,steep_slope,outer_slope
OSPR-02,15.8,OSPR-02_15.8,Species richness,4,7.6,3.173294499,4,13.81954293,steep_slope,outer_slope
OSPR-02,17.1,OSPR-02_17.1,Species richness,3,5,1.367639467,3,7.680524098,wall,outer_slope
OSPR-02,18.2,OSPR-02_18.2,Species richness,4,8.5,2.352620503,4,13.11105146,wall,outer_slope
OSPR-02,21.4,OSPR-02_21.4,Species richness,4,7.6,3.549465175,4,14.55682391,moderate_slope,outer_slope
OSPR-02,23.1,OSPR-02_23.1,Species richness,4,4.888888889,1.836072844,4,8.487525535,wall,outer_slope
OSPR-02,24.9,OSPR-02_24.9,Species richness,3,4.5,2.297143593,3,9.00231871,steep_slope,outer_slope
OSPR-02,27.7,OSPR-02_27.7,Species richness,3,3.2,1.677039238,3,6.486936507,steep_slope,outer_slope
OSPR-02,28,OSPR-02_28,Species richness,2,2,0.301511345,2,2.590951376,steep_slope,outer_slope
OSPR-02,32.2,OSPR-02_32.2,Species richness,3,4.5,1.971386222,3,8.363845995,steep_slope,outer_slope
OSPR-02,33.2,OSPR-02_33.2,Species richness,4,4.833333333,1.701300709,4,8.16782145,steep_slope,outer_slope
OSPR-02,35,OSPR-02_35,Species richness,1,1,0,1,1,steep_slope,outer_slope
OSPR-02,38.1,OSPR-02_38.1,Species richness,2,2,0.460566186,2,2.902693138,steep_slope,outer_slope
OSPR-02,42.3,OSPR-02_42.3,Species richness,6,13.42857143,5.290312601,6,23.79739359,moderate_slope,outer_slope
OSPR-02,47.7,OSPR-02_47.7,Species richness,4,6.5,2.519964476,4,11.43903962,steep_slope,outer_slope
OSPR-02,47.8,OSPR-02_47.8,Species richness,3,3.833333333,1.099521309,3,5.9883555,moderate_slope,outer_slope
OSPR-02,6.1,OSPR-02_6.1,Species richness,10,12.97391304,3.401490882,10,19.64071267,moderate_slope,outer_slope
OSPR-02,6.2,OSPR-02_6.2,Species richness,14,28.86956522,11.89080906,14,52.17512273,moderate_slope,outer_slope
OSPR-02,61.4,OSPR-02_61.4,Species richness,1,1,0,1,1,steep_slope,outer_slope
OSPR-02,64.2,OSPR-02_64.2,Species richness,1,1,0,1,1,steep_slope,outer_slope
OSPR-02,68,OSPR-02_68,Species richness,1,1,0,1,1,steep_slope,outer_slope
OSPR-02,7.3,OSPR-02_7.3,Species richness,10,19.8,6.253494426,10,32.05662385,steep_slope,outer_slope
OSPR-02,71.6,OSPR-02_71.6,Species richness,2,2.333333333,1.225541865,2,4.73535125,steep_slope,outer_slope
OSPR-02,8.2,OSPR-02_8.2,Species richness,10,27.67272727,10.7341927,10,48.71135837,steep_slope,outer_slope
OSPR-02,80.6,OSPR-02_80.6,Species richness,2,2.333333333,1.25679299,2,4.79660233,steep_slope,outer_slope
OSPR-02,9.4,OSPR-02_9.4,Species richness,6,6.95,1.822240197,6,10.52152516,steep_slope,outer_slope
OSPR-03,14.5,OSPR-03_14.5,Species richness,3,3.8,1.311820387,3,6.371120712,steep_slope,outer_slope
OSPR-03,18.1,OSPR-03_18.1,Species richness,4,8.5,2.150428663,4.285237269,12.71476273,steep_slope,outer_slope
OSPR-03,24.4,OSPR-03_24.4,Species richness,3,5,1.44053862,3,7.823403813,steep_slope,outer_slope
OSPR-03,28.2,OSPR-03_28.2,Species richness,4,5.714285714,1.861949048,4,9.363638789,wall,outer_slope
OSPR-03,34.3,OSPR-03_34.3,Species richness,3,5,1.484011308,3,7.908608716,steep_slope,outer_slope
OSPR-03,37.5,OSPR-03_37.5,Species richness,1,1,0,1,1,steep_slope,outer_slope
OSPR-03,45.8,OSPR-03_45.8,Species richness,1,1,0,1,1,wall,outer_slope
OSPR-03,55.6,OSPR-03_55.6,Species richness,1,1,0,1,1,wall,outer_slope
OSPR-03,55.7,OSPR-03_55.7,Species richness,1,1,0,1,1,steep_slope,outer_slope
OSPR-03,6.4,OSPR-03_6.4,Species richness,12,16.47077922,3.740996482,12,23.80299759,steep_slope,outer_slope
OSPR-03,60.6,OSPR-03_60.6,Species richness,1,1,0,1,1,wall,outer_slope
OSPR-03,64.9,OSPR-03_64.9,Species richness,2,2.5,0.697234798,2,3.866555093,wall,outer_slope
OSPR-03,78.1,OSPR-03_78.1,Species richness,1,1,0,1,1,steep_slope,outer_slope
OSPR-03,8.3,OSPR-03_8.3,Species richness,9,16.86206897,6.348696224,9,29.30528491,steep_slope,outer_slope
OSPR-03,81.1,OSPR-03_81.1,Species richness,1,1,0,1,1,steep_slope,outer_slope
OSPR-03,96.5,OSPR-03_96.5,Species richness,1,1,0,1,1,wall,outer_slope
SAUM-01,29.5,SAUM-01_29.5,Species richness,2,2,0.337997669,2,2.662463258,flat,inner_reef
SAUM-01,29.6,SAUM-01_29.6,Species richness,4,5.75,2.106172692,4,9.878022622,flat,inner_reef
SAUM-01,29.9,SAUM-01_29.9,Species richness,1,1,0,1,1,flat,inner_reef
SDIA-01,35.3,SDIA-01_35.3,Species richness,1,1,0,1,1,flat,lagoon
SDIA-01,35.6,SDIA-01_35.6,Species richness,1,1,0,1,1,flat,lagoon
SDIA-02,15.2,SDIA-02_15.2,Species richness,9,11.19375,4.939103227,9,20.87421444,gentle_slope,outer_slope
SDIA-02,20,SDIA-02_20,Species richness,4,4.464285714,1.076366851,4,6.573925977,gentle_slope,outer_slope
SDIA-02,21.4,SDIA-02_21.4,Species richness,2,2,0.140705294,2,2.275777309,gentle_slope,outer_slope
SDIA-02,23.7,SDIA-02_23.7,Species richness,3,3.2,1.82004107,3,6.767214947,gentle_slope,outer_slope
SDIA-02,24.7,SDIA-02_24.7,Species richness,1,1,0,1,1,gentle_slope,outer_slope
SDIA-02,28.8,SDIA-02_28.8,Species richness,2,2.5,0.703239258,2,3.878323619,gentle_slope,outer_slope
SDIA-02,31.5,SDIA-02_31.5,Species richness,3,3.875,0.977320148,3,5.790512291,flat,outer_slope
SDIA-02,33.3,SDIA-02_33.3,Species richness,4,7.6,3.215655517,4,13.902569,flat,outer_slope
SDIA-02,35.1,SDIA-02_35.1,Species richness,2,2.333333333,1.159821187,2,4.606541088,flat,outer_slope
SDIA-02,36,SDIA-02_36,Species richness,4,6.7,2.014297005,4,10.64794958,flat,outer_slope
SDIA-02,41.7,SDIA-02_41.7,Species richness,3,4.5,2.053968812,3,8.525704896,flat,outer_slope
SDIA-02,43.7,SDIA-02_43.7,Species richness,2,2.333333333,1.208722508,2,4.702385916,flat,outer_slope
SDIA-02,47.5,SDIA-02_47.5,Species richness,3,3.8,1.67280204,3,7.078631753,flat,outer_slope
SDIA-02,66.8,SDIA-02_66.8,Species richness,1,1,0,1,1,flat,outer_slope
SDIA-02,74.1,SDIA-02_74.1,Species richness,1,1,0,1,1,gentle_slope,outer_slope
SDIA-02,78.2,SDIA-02_78.2,Species richness,2,2.5,0.723627227,2,3.918283303,gentle_slope,outer_slope
SDIA-02,79,SDIA-02_79,Species richness,5,11.66666667,4.860833975,5,21.19372619,gentle_slope,outer_slope
SDIA-02,81.7,SDIA-02_81.7,Species richness,1,1,0,1,1,gentle_slope,outer_slope
SDIA-02,84.4,SDIA-02_84.4,Species richness,2,2.5,0.697234798,2,3.866555093,gentle_slope,outer_slope
SDIA-02,87,SDIA-02_87,Species richness,1,1,0,1,1,gentle_slope,outer_slope
SDIA-02,88.7,SDIA-02_88.7,Species richness,2,2.5,0.723627227,2,3.918283303,gentle_slope,outer_slope
SDIA-02,93.9,SDIA-02_93.9,Species richness,1,1,0,1,1,gentle_slope,outer_slope
SDIA-02,94.1,SDIA-02_94.1,Species richness,2,2.333333333,1.334410339,2,4.948729539,gentle_slope,outer_slope
SDIA-02,95.3,SDIA-02_95.3,Species richness,1,1,0,1,1,gentle_slope,outer_slope
SDIA-02,97.2,SDIA-02_97.2,Species richness,1,1,0,1,1,gentle_slope,outer_slope
SHAR-01,11,SHAR-01_11,Species richness,6,10.26315789,4.812344863,6,19.69518051,flat,outer_slope
SHAR-01,18,SHAR-01_18,Species richness,2,2,0.479372485,2,2.939552807,gentle_slope,outer_slope
SHAR-01,28,SHAR-01_28,Species richness,4,4,0.469089795,4,4.919399103,gentle_slope,outer_slope
SHAR-01,36,SHAR-01_36,Species richness,6,6.466666667,2.201332258,6,10.78119861,steep_slope,outer_slope
SHAR-01,77,SHAR-01_77,Species richness,1,1,0,1,1,moderate_slope,outer_slope
SHAR-01,85,SHAR-01_85,Species richness,1,1,0,1,1,wall,outer_slope
SWCA-01,11,SWCA-01_11,Species richness,4,4.222222222,2.047721901,4,8.235683398,steep_slope,outer_slope
SWCA-01,15.4,SWCA-01_15.4,Species richness,3,3,0.384054329,3,3.752732652,moderate_slope,outer_slope
SWCA-01,19.4,SWCA-01_19.4,Species richness,10,22.109375,10.30913828,10,42.31491473,gentle_slope,outer_slope
SWCA-01,22.4,SWCA-01_22.4,Species richness,5,5.888888889,2.41002189,5,10.612445,moderate_slope,outer_slope
SWCA-01,24.9,SWCA-01_24.9,Species richness,4,4.941176471,0.875008251,4,6.656161129,moderate_slope,outer_slope
SWCA-01,27.9,SWCA-01_27.9,Species richness,5,6.857142857,2.547351738,5,11.84986052,steep_slope,outer_slope
SWCA-01,32.1,SWCA-01_32.1,Species richness,3,3.8,1.601786881,3,6.939444598,steep_slope,outer_slope
SWCA-01,35,SWCA-01_35,Species richness,4,6.666666667,1.702825128,4,10.00414259,gentle_slope,outer_slope
SWCA-01,37.4,SWCA-01_37.4,Species richness,3,3,0.246662572,3,3.483449757,moderate_slope,outer_slope
SWCA-01,40.5,SWCA-01_40.5,Species richness,4,4.9,1.220588325,4,7.292309157,moderate_slope,outer_slope
SWCA-01,44.1,SWCA-01_44.1,Species richness,2,2.333333333,1.318094738,2,4.916751547,moderate_slope,outer_slope
SWCA-01,48.1,SWCA-01_48.1,Species richness,2,2.5,0.723627227,2,3.918283303,steep_slope,outer_slope
SWCA-01,61.2,SWCA-01_61.2,Species richness,1,1,0,1,1,flat,outer_slope
TURT-01,50,TURT-01_50,Species richness,3,5,1.421906531,3,7.786885589,wall,outer_slope
TURT-01,61,TURT-01_61,Species richness,1,1,0,1,1,wall,outer_slope
WILL-01,35.2,WILL-01_35.2,Species richness,5,10.4,3.304055933,5,16.87583063,gentle_slope,outer_slope
WILL-01,40,WILL-01_40,Species richness,1,1,0,1,1,steep_slope,outer_slope
WILL-01,42,WILL-01_42,Species richness,6,7.875,2.606927602,6,12.98448421,steep_slope,outer_slope
WILL-01,42.3,WILL-01_42.3,Species richness,2,2,0.337997669,2,2.662463258,gentle_slope,outer_slope
WILL-01,43,WILL-01_43,Species richness,3,5,1.363694724,3,7.672792545,steep_slope,outer_slope
WILL-01,44.1,WILL-01_44.1,Species richness,3,3.2,1.601262128,3,6.338416102,steep_slope,outer_slope
WILL-01,44.4,WILL-01_44.4,Species richness,1,1,0,1,1,gentle_slope,outer_slope
WILL-01,44.8,WILL-01_44.8,Species richness,1,1,0,1,1,steep_slope,outer_slope
WILL-01,50.1,WILL-01_50.1,Species richness,2,2,0.2564324,2,2.502598268,steep_slope,outer_slope
WILL-01,50.4,WILL-01_50.4,Species richness,3,3.416666667,1.260002349,3,5.886225892,steep_slope,outer_slope
WILL-01,51.5,WILL-01_51.5,Species richness,3,3.2,1.427895251,3,5.998623266,steep_slope,outer_slope
WILL-01,52.3,WILL-01_52.3,Species richness,3,4.5,1.747574076,3,7.92518225,steep_slope,outer_slope
WREC-01,31.5,WREC-01_31.5,Species richness,6,10.15384615,3.899749038,6,17.79721382,gentle_slope,outer_slope
WREC-01,36.3,WREC-01_36.3,Species richness,9,18.67741935,6.950079731,9,32.29932532,gentle_slope,outer_slope
WREC-01,36.5,WREC-01_36.5,Species richness,6,6.473684211,1.776913755,6,9.956371174,gentle_slope,outer_slope
